epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.943,0.55778,2.4245,0.01209,0.76342,0.0625,0.03871,0.02356,0.60261,7.3984,0.01731,8.211e-05,8.211e-05,8.211e-05
2,352.489,0.84355,3.17891,0.01555,0.01589,0.65625,0.0857,0.04934,0.68992,7.15801,0.01991,0.000159484,0.000159484,0.000159484
3,524.742,0.83797,2.54648,0.01533,0.4212,0.1875,0.13167,0.08136,0.66381,5.90578,0.01858,0.000228376,0.000228376,0.000228376
4,727.232,0.75725,2.35949,0.01483,0.2947,0.1875,0.0981,0.06012,0.58786,5.71072,0.01532,0.000288786,0.000288786,0.000288786
5,905.475,0.90133,2.51177,0.01752,0.40157,0.21875,0.19327,0.10827,0.67402,5.10063,0.01936,0.000286314,0.000286314,0.000286314
6,1078.01,0.71434,2.43298,0.01509,0.54068,0.21875,0.20564,0.12295,0.81935,5.0734,0.02349,0.000268642,0.000268642,0.000268642
7,1249,0.87093,2.27205,0.01761,0.57015,0.21875,0.22561,0.1216,0.81578,5.77271,0.02364,0.000250971,0.000250971,0.000250971
8,1419.97,0.63272,2.18743,0.01332,0.41683,0.21875,0.21582,0.11769,0.76148,5.84844,0.02193,0.000233299,0.000233299,0.000233299
9,1589.77,0.76338,2.48714,0.01439,0.61007,0.26589,0.27566,0.12265,0.73575,6.75589,0.02132,0.000215628,0.000215628,0.000215628
10,1769.9,0.58056,2.09872,0.01256,0.25242,0.35938,0.25889,0.11433,0.7779,7.03068,0.02451,0.000197957,0.000197957,0.000197957
11,1922.97,0.71393,2.66663,0.02292,0.40214,0.29688,0.29275,0.1235,0.73997,7.50178,0.02363,0.000180285,0.000180285,0.000180285
12,2091.75,0.64301,2.8443,0.02034,0.28185,0.35938,0.29989,0.12545,0.71592,6.26644,0.02274,0.000162613,0.000162613,0.000162613
13,2261.86,0.61607,2.75355,0.01963,0.34664,0.32812,0.29786,0.14026,0.60316,6.18078,0.01795,0.000144942,0.000144942,0.000144942
14,2433.99,0.63139,3.03501,0.02319,0.22395,0.32857,0.31664,0.16085,0.67803,7.08172,0.02106,0.000127271,0.000127271,0.000127271
15,2604.15,0.57732,2.63166,0.01839,0.22106,0.39062,0.32128,0.17454,0.63218,8.03286,0.01839,0.000109599,0.000109599,0.000109599
16,2764.43,0.58104,2.52132,0.018,0.26501,0.41252,0.32237,0.17614,0.62466,8.52558,0.01752,9.19275e-05,9.19275e-05,9.19275e-05
17,2933.81,0.59196,2.39504,0.01872,0.33584,0.42145,0.32773,0.18473,0.5789,8.80919,0.01655,7.4256e-05,7.4256e-05,7.4256e-05
18,3103.94,0.5427,2.26975,0.01545,0.33628,0.35938,0.32735,0.17971,0.56452,8.70064,0.01586,5.65845e-05,5.65845e-05,5.65845e-05
19,3274.22,0.45552,2.06365,0.01242,0.30334,0.42188,0.32413,0.17266,0.5253,8.72087,0.01366,3.8913e-05,3.8913e-05,3.8913e-05
20,3438.1,0.44054,2.22441,0.01284,0.29968,0.42188,0.32477,0.18206,0.51784,8.42499,0.01379,2.12415e-05,2.12415e-05,2.12415e-05
