Index,Component,Thickness,Width,Length,BBoxVolume_cuin,CenterX,CenterY,CenterZ
221,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_250X1-SPRING-1,0.332,0.334,1.003,,-3.359,-1.750,-7.047
222,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-S_KIT_ASM-1/UNF-SHCS-M-10-X-0750-1,0.312,0.312,0.940,,-4.109,2.250,8.155
223,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-S_KIT_ASM-1/UNF-SHCS-M-10-X-0750-1,0.312,0.312,0.940,,-4.109,2.250,-8.155
224,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-S_KIT_ASM-1/UNF-SHCS-M-10-X-0750-1,0.312,0.312,0.940,,-4.109,-2.250,-8.155
225,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-S_KIT_ASM-1/UNF-SHCS-M-10-X-0750-1,0.312,0.312,0.940,,-4.109,-2.250,8.155
226,UNF-FHCS-M-10-X-0625-2,0.359,0.359,0.625,,5.547,-5.709,0.000
227,UNF-FHCS-M-10-X-0625-3,0.359,0.359,0.625,,5.547,-1.870,-2.216
228,UNF-FHCS-M-10-X-0625-1,0.359,0.359,0.625,,5.547,-1.870,2.216
229,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-03-1,0.030,0.750,1.600,,-10.309,-2.250,7.765
230,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-03-1,0.030,0.750,1.600,,-10.309,-2.250,-7.765
231,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-03-1,0.030,0.750,1.600,,-10.309,2.250,-7.765
232,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-03-1,0.030,0.750,1.600,,-10.309,2.250,7.765
233,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-S_KIT_ASM-1/DOWEL_PIN-DME_D0188_L0500-1,0.188,0.188,0.500,,-10.859,-2.050,7.780
234,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-4,0.188,0.188,0.500,,-5.352,-1.595,-7.750
235,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-4,0.188,0.188,0.500,,-5.352,-2.905,7.750
236,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-1,0.188,0.188,0.500,,-6.102,-2.905,-7.750
237,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-1,0.188,0.188,0.500,,-6.102,1.595,-7.750
238,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-1,0.188,0.188,0.500,,-6.102,-1.595,7.750
239,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-2,0.188,0.188,0.500,,-5.352,-2.905,-7.750
240,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-3,0.188,0.188,0.500,,-6.102,-2.905,7.750
241,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-2,0.188,0.188,0.500,,-5.352,2.905,7.750
242,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-3,0.188,0.188,0.500,,-6.102,2.905,-7.750
243,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-2,0.188,0.188,0.500,,-5.352,1.595,-7.750
244,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-S_KIT_ASM-1/DOWEL_PIN-DME_D0188_L0500-1,0.188,0.188,0.500,,-10.859,-2.450,-7.780
245,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-4,0.188,0.188,0.500,,-5.352,1.595,7.750
246,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-S_KIT_ASM-1/DOWEL_PIN-DME_D0188_L0500-2,0.188,0.188,0.500,,-10.359,2.450,-7.780
247,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-S_KIT_ASM-1/DOWEL_PIN-DME_D0188_L0500-2,0.188,0.188,0.500,,-10.359,2.050,7.780
248,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-3,0.188,0.188,0.500,,-6.102,-1.595,-7.750
249,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-1,0.188,0.188,0.500,,-6.102,2.905,7.750
250,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-S_KIT_ASM-1/DOWEL_PIN-DME_D0188_L0500-2,0.188,0.188,0.500,,-10.359,-2.050,-7.780
251,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-S_KIT_ASM-1/DOWEL_PIN-DME_D0188_L0500-1,0.188,0.188,0.500,,-10.859,2.450,7.780
252,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-3,0.188,0.188,0.500,,-6.102,1.595,7.750
253,DOWEL_PIN_D0188_L0500-1,0.188,0.188,0.500,,-2.000,-4.150,0.000
254,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-S_KIT_ASM-1/DOWEL_PIN-DME_D0188_L0500-2,0.188,0.188,0.500,,-10.359,-2.450,7.780
255,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-2,0.188,0.188,0.500,,-5.352,-1.595,7.750
256,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-4,0.188,0.188,0.500,,-5.352,2.905,-7.750
257,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-S_KIT_ASM-1/DOWEL_PIN-DME_D0188_L0500-1,0.188,0.188,0.500,,-10.859,2.050,-7.780
258,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/DOWEL_PIN_D0125_L0625-1,0.125,0.125,0.625,,-3.297,2.250,7.427
259,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/DOWEL_PIN_D0125_L0625-1,0.125,0.125,0.625,,-3.297,2.250,-7.427
260,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/DOWEL_PIN_D0125_L0625-1,0.125,0.125,0.625,,-3.297,-2.250,7.427
261,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/DOWEL_PIN_D0125_L0625-1,0.125,0.125,0.625,,-3.297,-2.250,-7.427
