epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,450.04,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000257876,0.000257876,0.000257876
37,460.325,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000264254,0.000264254,0.000264254
38,469.202,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000270578,0.000270578,0.000270578
39,478.259,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000276846,0.000276846,0.000276846
40,487.693,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000283059,0.000283059,0.000283059
41,497.207,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000289218,0.000289218,0.000289218
42,507.528,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000295321,0.000295321,0.000295321
43,517.443,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000301369,0.000301369,0.000301369
44,526.736,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000307363,0.000307363,0.000307363
45,536.385,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000313301,0.000313301,0.000313301
46,545.539,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000319185,0.000319185,0.000319185
47,554.841,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000325013,0.000325013,0.000325013
48,564.435,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000330787,0.000330787,0.000330787
49,573.952,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000336505,0.000336505,0.000336505
50,584.882,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000342169,0.000342169,0.000342169
51,594.221,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000347778,0.000347778,0.000347778
52,602.523,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000353331,0.000353331,0.000353331
53,611.126,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.00035883,0.00035883,0.00035883
54,619.87,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000364273,0.000364273,0.000364273
55,628.571,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000369662,0.000369662,0.000369662
56,637.471,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000374996,0.000374996,0.000374996
57,645.912,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000380274,0.000380274,0.000380274
58,654.69,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000385498,0.000385498,0.000385498
59,663.135,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000390667,0.000390667,0.000390667
60,671.854,1.68652,85.4668,0.01398,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000395781,0.000395781,0.000395781
61,680.195,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.00040084,0.00040084,0.00040084
62,688.756,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000405843,0.000405843,0.000405843
63,697.444,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000410792,0.000410792,0.000410792
64,705.677,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000415686,0.000415686,0.000415686
65,714.561,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000420525,0.000420525,0.000420525
66,723.147,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000425309,0.000425309,0.000425309
67,731.531,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000430038,0.000430038,0.000430038
68,740.389,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000434712,0.000434712,0.000434712
69,749.084,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000439331,0.000439331,0.000439331
70,758.319,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000443895,0.000443895,0.000443895
71,766.979,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000448404,0.000448404,0.000448404
72,775.5,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000452858,0.000452858,0.000452858
73,783.786,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000457257,0.000457257,0.000457257
74,792.352,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000461601,0.000461601,0.000461601
75,800.621,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.00046589,0.00046589,0.00046589
76,809.789,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000470124,0.000470124,0.000470124
77,818.885,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000474304,0.000474304,0.000474304
78,827.347,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000478428,0.000478428,0.000478428
79,835.835,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000482497,0.000482497,0.000482497
80,844.456,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000486511,0.000486511,0.000486511
81,852.9,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.00049047,0.00049047,0.00049047
82,861.841,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000494375,0.000494375,0.000494375
83,869.909,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000498224,0.000498224,0.000498224
84,878.701,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000502018,0.000502018,0.000502018
85,887.136,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000505758,0.000505758,0.000505758
86,895.548,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000509442,0.000509442,0.000509442
87,904.236,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000513071,0.000513071,0.000513071
88,912.857,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000516646,0.000516646,0.000516646
89,921.511,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000520165,0.000520165,0.000520165
90,930.04,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.00052363,0.00052363,0.00052363
91,939.459,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000527039,0.000527039,0.000527039
92,948.114,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000530394,0.000530394,0.000530394
93,956.1,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000533693,0.000533693,0.000533693
94,965.132,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000536938,0.000536938,0.000536938
95,973.468,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000540127,0.000540127,0.000540127
96,981.997,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000543262,0.000543262,0.000543262
97,990.569,1.55528,68.9287,0.01024,0.28552,0.125,0.14869,0.14333,1.67159,43.4697,0.01504,0.000546341,0.000546341,0.000546341
