CMS AI FULL ASSEMBLY VIEW NOTES
================================
Job: 856800001_88_MB_03-05-2026.sldasm
Image: C:\CMS_AI\datasets\cms_molds\label_queue\images\856800001_88_MB_03-05-2026.sldasm_FULL_FRONT.jpg
ViewType: front
PartCount: 51

IMPORTANT:
This is NOT a YOLO label file.
Use this image for manual LabelImg labeling if needed.

Detected key roles:
TCP index: 34
BCP index: 16
ID Holder index: 4
OD Holder index: 19
ID Pot index: 30
OD Pot index: 23

Parts:
Index | Use | Class | Confidence | T | W | L | CenterX | CenterY | CenterZ | Component
35 | 1 | pyropel | 0.250 | 1.375 | 1.376 | 1.376 | 6.625 | -6.000 | -0.493 | 856800001_88_MB_03-05-2026.sldasm-Part-28-1
36 | 0 | hardware_other | 0.250 | 0.250 | 5.850 | 8.000 | 4.000 | 7.063 | -2.640 | 856800001_88_MB_03-05-2026.sldasm-Part-27-1
37 | 1 | pyropel | 0.250 | 1.375 | 1.376 | 1.376 | 1.375 | -6.000 | -0.493 | 856800001_88_MB_03-05-2026.sldasm-Part-28-2
38 | 0 | hardware_other | 0.250 | 0.050 | 1.484 | 1.526 | 6.604 | 6.000 | 0.224 | 856800001_88_MB_03-05-2026.sldasm-Part-30-2
39 | 1 | pyropel | 0.250 | 1.375 | 1.376 | 1.376 | 6.625 | 6.000 | -0.493 | 856800001_88_MB_03-05-2026.sldasm-Part-28-4
40 | 1 | od_pot | 0.500 | 0.813 | 0.813 | 1.000 | 4.687 | 6.427 | -4.512 | 856800001_88_MB_03-05-2026.sldasm-Part-29-2
41 | 0 | hardware_other | 0.250 | 0.050 | 1.484 | 1.526 | 1.479 | 6.000 | 0.224 | 856800001_88_MB_03-05-2026.sldasm-Part-30-3
42 | 1 | od_holder | 0.500 | 0.813 | 0.813 | 1.000 | 4.687 | -6.428 | -4.512 | 856800001_88_MB_03-05-2026.sldasm-Part-29-1
43 | 0 | hardware_other | 0.250 | 0.050 | 1.484 | 1.526 | 1.354 | -6.000 | 0.230 | 856800001_88_MB_03-05-2026.sldasm-Part-30-1
44 | 1 | top_clamp_plate | 0.250 | 0.050 | 1.484 | 1.526 | 6.604 | -6.000 | 0.224 | 856800001_88_MB_03-05-2026.sldasm-Part-30-4
45 | 0 | hardware_other | 0.250 | 0.250 | 5.500 | 6.755 | -5.625 | 0.000 | 3.813 | 856800001_88_MB_03-05-2026.sldasm-Part-34-1
46 | 1 | pyropel | 0.550 | 0.365 | 0.367 | 1.316 | 2.001 | 1.375 | 6.639 | 856800001_88_MB_03-05-2026.sldasm-Part-33-1
47 | 1 | leader_pin | 0.550 | 0.365 | 0.367 | 1.316 | 6.001 | 1.375 | 6.639 | 856800001_88_MB_03-05-2026.sldasm-Part-33-3
48 | 1 | leader_pin | 0.250 | 0.250 | 5.690 | 5.850 | -2.905 | 2.875 | -2.640 | 856800001_88_MB_03-05-2026.sldasm-Part-31-1
49 | 0 | hardware_other | 0.550 | 0.365 | 0.367 | 1.316 | 2.001 | -1.375 | 6.639 | 856800001_88_MB_03-05-2026.sldasm-Part-33-4
50 | 1 | leader_pin | 0.250 | 0.250 | 4.187 | 5.850 | -0.125 | 5.094 | -2.640 | 856800001_88_MB_03-05-2026.sldasm-Part-32-1
51 | 1 | leader_pin | 0.550 | 0.365 | 0.367 | 1.316 | 6.001 | -1.375 | 6.639 | 856800001_88_MB_03-05-2026.sldasm-Part-33-2
