epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.641,3.37001,60.7238,0.09353,0,0,0,0,4.50557,95.2271,0.22639,6.06e-06,6.06e-06,6.06e-06
2,430.537,3.04247,54.7481,0.0842,0,0,0,0,4.25296,125.236,0.21586,1.485e-05,1.485e-05,1.485e-05
3,655.563,2.96713,43.6335,0.07851,0.14286,0.16667,0.05583,0.00558,3.88692,140.903,0.19101,2.32801e-05,2.32801e-05,2.32801e-05
4,868.835,2.90684,44.645,0.07842,0.14286,0.16667,0.08375,0.00838,3.79938,138.855,0.18423,3.13502e-05,3.13502e-05,3.13502e-05
5,1067.01,2.60012,40.7903,0.0687,0.1,0.08333,0.0165,0.00165,3.93853,126.545,0.19382,3.90603e-05,3.90603e-05,3.90603e-05
6,1282.28,2.1601,34.0673,0.05499,0,0,0,0,4.0278,118.167,0.20197,4.64105e-05,4.64105e-05,4.64105e-05
