epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.63,2.22429,39.9352,0.05895,0.95848,0.16667,0.17808,0.03562,2.49913,61.0294,0.11435,7.854e-05,7.854e-05,7.854e-05
2,314.692,1.90891,31.6694,0.05156,1,0.3186,0.335,0.067,1.70838,43.9887,0.07718,0.000155349,0.000155349,0.000155349
3,470.808,1.5707,26.6804,0.04267,0.01775,0.5,0.01084,0.00253,1.33814,38.7776,0.06144,0.000226738,0.000226738,0.000226738
4,627.65,1.43486,18.5511,0.03494,0.0142,0.83333,0.03248,0.01219,0.62707,29.1258,0.02626,0.000292708,0.000292708,0.000292708
5,774.549,1.2654,16.4889,0.0307,0.01648,1,0.08055,0.05367,0.60866,26.5495,0.02594,0.000309876,0.000309876,0.000309876
6,922.659,1.07343,14.0376,0.02713,0.24674,0.16667,0.13048,0.1053,0.49527,23.0701,0.02147,0.000298095,0.000298095,0.000298095
7,1074.69,0.98858,12.2778,0.02571,0.07006,0.16667,0.11127,0.07546,0.7756,22.6936,0.03549,0.000286314,0.000286314,0.000286314
8,1229.75,0.8347,12.6394,0.02246,0.26836,0.16667,0.33909,0.22063,0.64519,19.4011,0.02886,0.000274533,0.000274533,0.000274533
9,1393.02,0.85917,11.2456,0.02084,0.0431,0.83333,0.22065,0.12007,0.5106,18.0222,0.02309,0.000262752,0.000262752,0.000262752
10,1534.05,0.75763,10.1905,0.01801,0.08,1,0.37471,0.29719,0.59541,17.1235,0.02557,0.000250971,0.000250971,0.000250971
11,1673.55,0.69025,8.49856,0.01714,0.09091,1,0.58342,0.48498,0.53918,16.4593,0.0228,0.00023919,0.00023919,0.00023919
12,1812.46,0.65437,8.3142,0.01604,0.37848,0.66667,0.56389,0.51006,0.47,15.4401,0.0198,0.000227409,0.000227409,0.000227409
13,1952.39,0.60469,8.09093,0.01395,0.08955,1,0.31204,0.30604,0.23964,13.2065,0.0098,0.000215628,0.000215628,0.000215628
14,2093.38,0.58729,7.61935,0.01442,0.11321,1,0.21217,0.20709,0.19122,12.5024,0.00787,0.000203847,0.000203847,0.000203847
15,2232.9,0.61113,7.2619,0.01473,0.09524,1,0.20144,0.20127,0.18918,11.362,0.00784,0.000192066,0.000192066,0.000192066
16,2377.93,0.5639,7.36758,0.01347,0.08,1,0.21581,0.21581,0.21665,10.9808,0.00897,0.000180285,0.000180285,0.000180285
17,2529.22,0.56855,5.90535,0.01369,0.08571,1,0.28733,0.25859,0.37955,10.4905,0.01618,0.000168504,0.000168504,0.000168504
18,2672.86,0.5474,5.81881,0.01234,0.06897,1,0.34621,0.31185,0.35356,10.1244,0.01493,0.000156723,0.000156723,0.000156723
19,2813,0.56493,6.40774,0.01387,0.04959,1,0.34022,0.30639,0.3072,9.72942,0.01281,0.000144942,0.000144942,0.000144942
20,2955.41,0.50652,5.14565,0.01213,0.04878,1,0.37114,0.35944,0.20296,9.23449,0.00833,0.000133161,0.000133161,0.000133161
21,3096.06,0.57809,12.5143,0.02083,0.04545,1,0.35836,0.32483,0.31701,9.31417,0.01304,0.00012138,0.00012138,0.00012138
22,3261.65,0.69819,12.3747,0.02465,0.048,1,0.23097,0.2129,0.30207,9.24031,0.01246,0.000109599,0.000109599,0.000109599
23,3402.74,0.60375,11.7128,0.01913,0.06122,1,0.23268,0.20941,0.32404,9.00893,0.01349,9.7818e-05,9.7818e-05,9.7818e-05
24,3546.25,0.5755,11.4871,0.02086,0.06667,0.83333,0.11426,0.11269,0.19343,8.74619,0.00788,8.6037e-05,8.6037e-05,8.6037e-05
25,3688.48,0.51063,10.5398,0.01921,0.06579,0.83333,0.09822,0.09357,0.19822,8.65468,0.00807,7.4256e-05,7.4256e-05,7.4256e-05
26,4029.11,0.52598,10.9047,0.01977,0.01299,0.16667,0.00589,0.00589,0.13312,8.76263,0.00545,6.2475e-05,6.2475e-05,6.2475e-05
27,4163.02,0.42031,10.2032,0.01519,0.02105,0.33333,0.01218,0.01218,0.13174,8.67741,0.00539,5.0694e-05,5.0694e-05,5.0694e-05
28,4298.46,0.45553,10.0128,0.01567,0.03529,0.5,0.02802,0.02802,0.15012,8.6034,0.00615,3.8913e-05,3.8913e-05,3.8913e-05
29,4439.38,0.40184,9.62117,0.0149,0.04301,0.66667,0.03855,0.03855,0.14173,8.5202,0.00581,2.7132e-05,2.7132e-05,2.7132e-05
30,4575.23,0.36682,9.7774,0.01283,0.05376,0.83333,0.04588,0.04588,0.14685,8.48413,0.00602,1.5351e-05,1.5351e-05,1.5351e-05
