epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.721,1.42075,22.4212,0.03333,0.4,0.01968,0.02874,0.01717,1.43902,28.1036,0.0526,8.211e-05,8.211e-05,8.211e-05
2,352.676,1.61988,19.6042,0.03337,0.23567,0.03,0.02629,0.01661,1.40429,27.2284,0.04949,0.000164468,0.000164468,0.000164468
3,526.452,1.51733,15.0983,0.03172,0.36178,0.06,0.06345,0.03572,1.38583,22.2798,0.0497,0.000243433,0.000243433,0.000243433
4,696.832,1.45667,12.6288,0.03052,0.27593,0.11,0.08153,0.03995,1.38297,20.4718,0.04791,0.000319004,0.000319004,0.000319004
5,851.894,1.58993,12.7676,0.03422,0.0092,0.265,0.07006,0.03232,1.28027,18.2122,0.04241,0.000328726,0.000328726,0.000328726
6,1007.68,1.14772,12.3956,0.0258,0.00989,0.205,0.05358,0.02204,1.22378,17.0796,0.04131,0.000321657,0.000321657,0.000321657
7,1676.43,1.28888,10.1314,0.02763,0.01695,0.285,0.07856,0.04553,1.18066,15.2744,0.03925,0.000314588,0.000314588,0.000314588
8,1841.25,1.01517,10.2613,0.02259,0.04064,0.3,0.07316,0.04054,1.24731,14.1878,0.04259,0.00030752,0.00030752,0.00030752
9,2009.86,1.10522,9.85916,0.02117,0.03857,0.315,0.07159,0.03527,1.13519,11.8156,0.03713,0.000300451,0.000300451,0.000300451
10,2180.05,0.88142,8.42175,0.01949,0.04857,0.29,0.09314,0.02652,1.02852,11.0933,0.03332,0.000293383,0.000293383,0.000293383
11,2349.11,1.15647,6.99359,0.022,0.01776,0.29,0.0188,0.00409,1.0822,9.8197,0.03667,0.000286314,0.000286314,0.000286314
12,2518.17,0.78515,6.61115,0.01482,0.03546,0.33,0.09586,0.04852,1.13045,9.243,0.038,0.000279245,0.000279245,0.000279245
13,2715.76,0.90211,6.25899,0.01824,0.0553,0.41,0.08112,0.02731,1.16535,8.28715,0.03879,0.000272177,0.000272177,0.000272177
14,3004.41,0.83229,6.63206,0.01628,0.03621,0.36,0.09458,0.03232,1.01966,8.00886,0.03311,0.000265108,0.000265108,0.000265108
15,3174.83,0.98099,5.18919,0.01787,0.01861,0.36,0.07813,0.03362,0.93705,7.78795,0.02896,0.00025804,0.00025804,0.00025804
16,3344.15,0.8883,5.64137,0.01698,0.03133,0.285,0.08757,0.03953,0.89135,7.85469,0.02717,0.000250971,0.000250971,0.000250971
17,3508.16,0.96166,5.08917,0.01893,0.02255,0.33,0.0658,0.02744,0.83676,8.35596,0.0261,0.000243902,0.000243902,0.000243902
18,3668.2,0.84716,4.42199,0.01739,0.02597,0.315,0.03671,0.01624,0.81822,7.71708,0.02532,0.000236834,0.000236834,0.000236834
19,3836.93,0.85832,4.75769,0.01484,0.41103,0.025,0.07341,0.02774,0.74002,6.65301,0.02207,0.000229765,0.000229765,0.000229765
20,4014.17,0.81517,4.12175,0.01853,0.03076,0.37,0.05818,0.01367,0.75069,6.49543,0.02197,0.000222697,0.000222697,0.000222697
21,4191.75,0.93674,4.65783,0.01677,0.02605,0.415,0.08209,0.03597,0.75344,6.21463,0.02084,0.000215628,0.000215628,0.000215628
22,4360.17,0.98117,3.86854,0.01769,0.02307,0.415,0.10275,0.04489,0.70368,6.20305,0.01881,0.000208559,0.000208559,0.000208559
23,4528.85,0.86656,4.10991,0.01671,0.04052,0.56,0.13646,0.07536,0.6502,6.45115,0.01672,0.000201491,0.000201491,0.000201491
24,4703.37,0.83266,3.84444,0.01726,0.0372,0.64,0.14091,0.0641,0.71121,7.21448,0.02001,0.000194422,0.000194422,0.000194422
25,4872.94,0.74544,3.60928,0.01486,0.19496,0.3,0.18913,0.09159,0.61584,7.71229,0.0164,0.000187354,0.000187354,0.000187354
26,5039.63,0.94516,3.41884,0.01608,0.52121,0.05,0.15419,0.07973,0.67721,8.04061,0.01925,0.000180285,0.000180285,0.000180285
27,5209.05,0.69441,3.35306,0.01281,0.75286,0.09834,0.16603,0.07863,0.64012,8.43818,0.01733,0.000173216,0.000173216,0.000173216
28,5362.73,0.93878,3.57134,0.01538,0.75721,0.09565,0.16915,0.07973,0.65988,8.41874,0.01808,0.000166148,0.000166148,0.000166148
29,5511.96,0.76788,3.29812,0.01358,0.42439,0.1,0.15436,0.06008,0.65397,8.72285,0.01859,0.000159079,0.000159079,0.000159079
30,5660.97,0.64637,2.98694,0.01128,0.43235,0.1,0.1733,0.07555,0.63868,8.63292,0.01756,0.000152011,0.000152011,0.000152011
31,5811.05,0.90123,3.08009,0.0158,0.44587,0.1,0.16362,0.08233,0.6591,7.83184,0.01738,0.000144942,0.000144942,0.000144942
32,5960.39,0.86299,3.06865,0.01623,0.54646,0.1,0.15888,0.08265,0.64657,7.70754,0.01679,0.000137873,0.000137873,0.000137873
