epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2089,2.30227,15.6441,0.05925,0.1,0.16667,0.03722,0.00682,4.01044,34.3621,0.19059,3.03e-05,3.03e-05,3.03e-05
2,142.84,2.30296,16.9876,0.06349,0,0,0,0,3.76417,32.0183,0.17652,6.04803e-05,6.04803e-05,6.04803e-05
3,211.302,2.04081,15.3463,0.05661,0.25,0.16667,0.08375,0.0335,3.47816,27.8035,0.16103,8.7361e-05,8.7361e-05,8.7361e-05
4,278.937,1.68173,13.2959,0.04401,0,0,0,0,2.47839,22.4708,0.11049,0.000110942,0.000110942,0.000110942
5,348.82,1.60305,12.592,0.04233,0.16667,0.08333,0.04125,0.0165,1.87572,20.0409,0.08189,0.000131223,0.000131223,0.000131223
6,419.662,1.51144,11.7788,0.04192,0.14286,0.16667,0.067,0.02216,1.1148,17.5119,0.04909,0.000148205,0.000148205,0.000148205
7,490.211,1.53191,10.445,0.03665,0.13333,0.33333,0.122,0.05802,1.07751,16.262,0.04843,0.000161887,0.000161887,0.000161887
8,559.96,1.38874,10.2344,0.03629,0.11905,0.41667,0.30497,0.16865,1.00731,15.4305,0.04576,0.000172269,0.000172269,0.000172269
9,629.402,1.23809,9.42426,0.03174,0.11905,0.41667,0.30497,0.16865,1.00731,15.4305,0.04576,0.000179352,0.000179352,0.000179352
10,700.157,1.25586,9.11785,0.03152,0.16667,0.41667,0.25469,0.11219,0.77675,14.8535,0.03393,0.000168013,0.000168013,0.000168013
11,769.991,1.32186,21.8052,0.04879,0.15625,0.41667,0.33857,0.14667,0.80587,14.4971,0.03496,0.000153015,0.000153015,0.000153015
12,838.968,1.15309,19.9986,0.04313,0.15625,0.41667,0.33857,0.14667,0.80587,14.4971,0.03496,0.000138016,0.000138016,0.000138016
13,913.974,1.08805,19.0975,0.03915,0.06098,0.41667,0.14414,0.06725,0.71432,13.7206,0.03076,0.000123018,0.000123018,0.000123018
14,988.949,1.08232,19.4794,0.03984,0.04167,0.33333,0.0645,0.05511,0.70557,13.4962,0.02957,0.000108019,0.000108019,0.000108019
15,1060.11,0.92113,18.0509,0.03207,0.04167,0.33333,0.0645,0.05511,0.70557,13.4962,0.02957,9.3021e-05,9.3021e-05,9.3021e-05
16,1137.88,0.9874,17.8724,0.03889,0.04348,0.33333,0.07315,0.05927,0.78855,13.7244,0.03292,7.80225e-05,7.80225e-05,7.80225e-05
17,1212.48,0.99675,17.6944,0.04058,0.03846,0.33333,0.04706,0.03824,0.78362,13.377,0.03259,6.3024e-05,6.3024e-05,6.3024e-05
18,1284.91,0.8094,16.9179,0.02798,0.03922,0.33333,0.05245,0.04405,0.74814,13.12,0.03129,4.80255e-05,4.80255e-05,4.80255e-05
19,1355.11,0.74714,16.6315,0.02605,0.03922,0.33333,0.05245,0.04405,0.74814,13.12,0.03129,3.3027e-05,3.3027e-05,3.3027e-05
20,1427.38,0.81589,16.7132,0.02806,0.05208,0.41667,0.14789,0.1314,0.68094,12.8096,0.02828,1.80285e-05,1.80285e-05,1.80285e-05
